Company,Symbol,Sector,SecurityId,1Y Return %,6M Return %,1M Return %,1W Return %,1D Return %,PDH,PDL,PDC,Trend
Aster DM Quality Care Ltd.,ASTERDM,Healthcare,1508,25.779885200898438,17.28203537077257,-8.04597701149425,0.6791849780263713,1.0154997327632314,765.0,744.05,748.4,MIXED
Astral Ltd.,ASTRAL,Capital Goods,14418,11.942932784232982,-8.8393819619116,5.0807676377191875,-0.6915448851774472,-0.6591398551197487,1556.4,1529.5,1532.3,MIXED
Ather Energy Ltd.,ATHERENERG,Automobile and Auto Components,757645,281.5839164722871,143.645390070922,36.292946123938755,18.20934553712753,6.273587824042572,1630.0,1523.7,1616.3,BULLISH
Atul Ltd.,ATUL,Chemicals,263,1.8077566297682566,-2.1283111315265657,-5.113931566837379,-0.5136186770428016,-1.044972521092964,6598.0,6437.5,6459.5,MIXED
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,275,67.03959529137074,41.85393258426966,8.657132008606503,6.778606965174129,4.35786786604267,1656.2,1620.1,1645.3,BULLISH
Authum Investment & Infrastructure Ltd.,AIIL,Financial Services,23553,-13.25126047820843,23.451083966105415,4.005191915445953,1.081275905568571,2.747755999267265,558.95,544.0,545.9,MIXED
Avenue Supermarts Ltd.,DMART,Consumer Services,19913,-17.991420640928595,2.564102564102564,-0.5355776587605203,-1.015228426395939,1.8117266224612356,3853.9,3822.0,3830.6,MIXED
Axis Bank Ltd.,AXISBANK,Financial Services,5900,24.378109452736314,-5.268527289951173,5.734038226921513,5.177993527508091,2.766798418972332,1265.4,1248.2,1265.0,MIXED
BEML Ltd.,BEML,Capital Goods,395,0.8543001510652635,17.325172706338616,10.609003656307118,1.1018276762402042,-2.458562144188633,1990.0,1909.0,1984.9,BULLISH
BLS International Services Ltd.,BLS,Consumer Services,17279,-34.39869102808835,-9.784361522595153,0.48454469507100945,-0.3933584530661209,0.640087018365896,240.45,237.2,239.03,MIXED
BSE Ltd.,BSE,Financial Services,19585,56.569029672741166,24.148887880163418,-9.988481158466344,-0.9267364989283612,-3.6123348017621146,3410.0,3303.0,3405.0,MIXED
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components,16669,40.531773156461796,24.07937806873977,5.290568985721106,2.7966101694915255,1.8471872376154492,11974.0,11769.0,11910.0,BULLISH
Bajaj Finance Ltd.,BAJFINANCE,Financial Services,317,20.407814546904365,8.050089445438283,-7.378198387662113,-1.8570102135561743,-2.1205667191406694,1081.5,1065.7,1079.9,MIXED
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,16675,5.617977528089887,4.0733302435758745,-0.3991917598935444,0.9641804466203705,0.949050949050949,2014.7,1982.3,2002.0,MIXED
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services,305,-8.817541111981205,8.87330528284245,2.653618972053249,4.712230215827338,2.6807760141093473,11429.0,11250.0,11340.0,MIXED
Bajaj Housing Finance Ltd.,BAJAJHFL,Financial Services,25270,-24.469615246314273,-1.477485928705447,-2.325040688212044,-0.03569303985722919,-1.1529411764705928,85.79,84.76,85.0,BEARISH
Balkrishna Industries Ltd.,BALKRISIND,Automobile and Auto Components,335,-0.44553158032673507,-1.0162425084686917,-7.85526581766728,-3.3582089552238923,-2.6024528866287806,2360.9,2326.5,2340.1,BEARISH
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods,341,29.336068631107786,51.33660665575559,18.304332992152837,-0.28756290438533433,5.902114988165225,665.8,645.65,654.85,MIXED
Bandhan Bank Ltd.,BANDHANBNK,Financial Services,2263,1.0506798516687197,-7.97028031070584,-6.104634468500543,-5.9804485336400255,-2.823179791976226,170.48,167.8,168.25,MIXED
Bank of Baroda,BANKBARODA,Financial Services,4668,2.478202980715536,-24.30203045685279,-1.6488046166529264,-1.200828157349899,-1.3642000826787977,241.9,239.5,241.9,MIXED
Bank of India,BANKINDIA,Financial Services,4745,28.379726176443913,-17.823563551944286,2.6386371873867454,-0.2887323943661948,-1.6736111111111087,144.89,142.7,144.0,MIXED
Bank of Maharashtra,MAHABANK,Financial Services,11377,57.97882579403271,14.01778271742149,3.4539266355729166,1.6976456009913137,-2.0644391408114604,84.89,82.95,83.8,BULLISH
Bata India Ltd.,BATAINDIA,Consumer Durables,371,-37.856297240688455,-11.3190383365822,-1.9751490339725633,-0.5610200364298757,0.16145603992367868,684.7,678.1,681.3,BEARISH
Bayer Cropscience Ltd.,BAYERCROP,Chemicals,17927,-24.096339481984135,-12.80604290639205,-6.222841488758728,-1.797902858838654,-1.9216044656309366,4077.3,4042.0,4048.7,BEARISH
